iter	Passed	Remaining
472	733	817
473	734	815
474	736	813
475	737	811
476	739	810
477	740	808
478	742	807
479	743	805
480	745	804
481	746	802
482	747	800
483	749	798
484	750	797
485	752	795
486	753	793
487	755	792
488	756	790
489	758	789
490	759	787
491	760	785
492	762	783
493	763	782
494	764	780
495	766	778
496	767	777
497	769	775
498	771	774
499	773	773
500	774	771
501	776	769
502	777	768
503	778	766
504	780	764
505	781	763
506	783	761
507	784	759
508	785	758
509	787	756
510	789	755
511	790	753
512	792	752
513	793	750
514	795	748
515	796	746
516	797	745
517	799	743
518	800	741
519	801	740
520	803	739
521	805	737
522	807	736
523	808	734
524	809	732
525	811	731
526	812	729
527	813	727
528	815	725
529	816	724
530	818	722
531	820	721
532	821	720
533	823	718
534	824	716
535	826	715
536	827	713
537	828	711
538	830	710
539	831	708
540	833	707
541	834	705
542	836	704
543	838	702
544	839	700
545	841	699
546	842	697
547	843	695
548	845	694
549	846	692
550	848	691
551	849	689
552	851	688
553	853	687
554	854	685
555	856	683
556	857	682
557	858	680
558	860	678
559	861	677
560	863	675
561	864	673
562	866	672
563	868	671
564	869	669
565	871	668
566	872	666
567	873	664
568	875	663
569	876	661
570	878	659
571	879	658
572	881	656
573	883	655
574	884	653
575	885	652
576	887	650
577	888	648
578	890	647
579	891	645
580	892	643
581	894	642
582	895	640
583	896	638
584	899	637
585	900	636
586	902	634
587	903	633
588	904	631
589	906	629
590	907	628
591	909	626
592	910	624
593	911	623
594	913	621
595	915	620
596	916	618
597	918	617
598	919	615
599	920	613
600	922	612
601	923	610
602	924	608
603	926	607
604	927	605
605	929	604
606	931	602
607	932	601
608	934	599
609	935	598
610	937	596
611	938	595
612	939	593
613	941	591
614	942	590
615	944	588
616	946	587
617	947	585
618	949	584
619	951	582
620	952	581
621	953	579
622	955	578
623	956	576
624	958	574
625	959	573
626	961	571
627	963	570
628	964	568
629	966	567
630	967	565
631	968	564
632	970	562
633	971	560
634	972	559
635	974	557
636	975	556
637	977	554
638	979	553
639	980	551
640	982	550
641	983	548
642	985	546
643	986	545
644	988	543
645	989	542
646	991	540
647	993	539
648	995	538
649	996	536
650	997	534
651	999	533
652	1000	531
653	1002	530
654	1003	528
655	1005	527
656	1006	525
657	1008	524
658	1009	522
659	1011	520
660	1012	519
661	1014	517
662	1015	516
663	1017	514
664	1018	513
665	1020	511
666	1021	510
667	1023	508
668	1025	507
669	1026	505
670	1028	504
671	1029	502
672	1031	501
673	1032	499
674	1034	497
675	1035	496
676	1036	494
677	1038	493
678	1040	491
679	1041	490
680	1043	488
681	1044	487
682	1046	485
683	1048	484
684	1049	482
685	1051	481
686	1052	479
687	1054	478
688	1056	476
689	1057	475
690	1059	473
691	1061	472
692	1063	470
693	1064	469
694	1066	468
695	1068	466
696	1071	465
697	1073	464
698	1074	462
699	1076	461
700	1078	459
701	1079	458
702	1081	456
703	1083	455
704	1084	453
705	1089	453
706	1092	452
707	1094	451
708	1097	450
709	1099	449
710	1101	447
711	1104	446
712	1106	445
713	1107	443
714	1109	442
715	1111	440
716	1112	439
717	1114	437
718	1115	436
719	1120	435
720	1122	434
721	1123	432
722	1126	431
723	1146	436
724	1148	435
725	1151	434
726	1154	433
727	1156	432
728	1159	430
729	1161	429
730	1163	428
731	1168	427
732	1170	426
733	1173	425
734	1175	423
735	1177	422
736	1179	420
737	1181	419
738	1183	418
739	1186	416
740	1187	415
741	1189	413
742	1191	412
743	1193	410
744	1195	409
745	1197	407
746	1199	406
747	1200	404
748	1202	402
749	1203	401
750	1205	399
751	1206	397
752	1207	396
753	1209	394
754	1210	392
755	1213	391
756	1215	390
757	1216	388
758	1217	386
759	1219	385
760	1220	383
761	1222	381
762	1223	380
763	1224	378
764	1226	376
765	1229	375
766	1230	373
767	1232	372
768	1233	370
769	1235	368
770	1236	367
771	1237	365
772	1239	363
773	1240	362
774	1242	360
775	1245	359
776	1246	357
777	1248	356
778	1249	354
779	1251	352
780	1252	351
781	1253	349
782	1255	347
783	1257	346
784	1260	345
785	1261	343
786	1263	341
787	1264	340
788	1266	338
789	1267	336
790	1269	335
791	1270	333
792	1272	332
793	1273	330
794	1275	328
795	1277	327
796	1279	325
797	1280	324
798	1282	322
799	1283	320
800	1285	319
801	1286	317
802	1288	316
803	1290	314
804	1292	313
805	1294	311
806	1295	309
807	1297	308
808	1298	306
809	1300	304
