iter	RMSE
293	733785.7708
294	733226.3615
295	732687.468
296	731004.2674
297	728935.0616
298	728250.2755
299	727204.1701
300	726491.8315
301	724787.1559
302	723652.7037
303	722136.54
304	720558.4849
305	719227.051
306	717376.4229
307	715890.9395
308	714507.1507
309	712576.7625
310	710855.9528
311	710222.8709
312	708571.6048
313	707183.2126
314	706007.0211
315	704921.6298
316	703474.5982
317	702362.5664
318	701821.6144
319	700526.5325
320	699168.1228
321	697938.0129
322	696712.0056
323	695716.5064
324	694646.5314
325	693628.444
326	692360.1876
327	691154.392
328	690671.6541
329	690396.5776
330	689747.9515
331	688696.9721
332	688254.4274
333	687952.3593
334	687430.4236
335	686995.8768
336	686766.4917
337	686110.4043
338	684578.6183
339	684340.0798
340	682924.1225
341	681940.5501
342	681076.6748
343	680246.8368
344	679650.3812
345	679242.1584
346	678753.9387
347	678370.1722
348	677235.2916
349	677092.6787
350	676873.1263
351	676396.3159
352	675424.1087
353	674513.9774
354	673230.6285
355	672376.7267
356	671693.2736
357	671294.3972
358	670546.179
359	670222.3004
360	669861.3632
361	669522.7177
362	668447.3675
363	667798.0285
364	667622.1496
365	667457.0951
366	666092.5498
367	664765.4429
368	664310.8301
369	663700.9111
370	662789.1
371	661945.6763
372	660282.4775
373	659833.3276
374	658695.5216
375	657450.0985
376	657043.3887
377	655985.5436
378	655443.2795
379	654299.4462
380	653678.1255
381	652548.2679
382	651766.3637
383	651137.8503
384	649988.772
385	649478.6827
386	649087.0577
387	648509.1104
388	647297.7806
389	646844.8133
390	645724.7053
391	645397.214
392	644338.7271
393	643950.5716
394	642756.9345
395	641711.5146
396	641432.1347
397	639879.2665
398	639539.0768
399	639234.3772
400	638667.2764
401	638144.3401
402	637252.8086
403	636350.4948
404	635632.4693
405	635094.1501
406	634394.6133
407	632768.6787
408	632511.2732
409	632027.1984
410	631783.883
411	631451.6677
412	631011.2693
413	630542.6298
414	629457.536
415	628991.7136
416	627497.0751
417	627099.7088
418	626466.457
419	625159.6501
420	624488.2442
421	623534.4505
422	623164.1039
423	622713.1463
424	622399.3431
425	621758.5115
426	620893.9128
427	620089.0153
428	618747.93
429	617752.6691
430	616612.5129
431	616254.2099
432	615913.7338
433	615599.1668
434	615303.4073
435	614495.3736
436	614167.0024
437	613277.0161
438	612876.5369
439	612581.6466
440	612158.3888
441	611167.2326
442	610845.1084
443	610588.4598
444	609615.9749
445	608517.6396
446	607540.1546
447	606656.311
448	606109.9026
449	605493.6008
450	605191.5885
451	604920.79
452	604638.2298
453	603810.0027
454	603418.0027
455	602703.8402
456	602449.6578
457	601576.1218
458	600829.4216
459	600626.7748
460	599627.825
461	599436.0399
462	598726.1498
463	598189.355
464	597835.2461
465	596936.8393
466	595964.0345
467	595511.3737
468	594882.971
469	594221.2589
470	593889.5411
471	592971.0473
472	592786.7394
473	592144.3588
474	591879.475
475	591284.2774
476	590864.7868
477	590152.8106
478	589634.7646
479	589464.9227
480	588938.6955
481	588679.5539
482	588353.6251
483	588001.2805
484	587398.1329
485	586330.3028
486	586090.2975
487	585809.9417
488	585569.0201
489	585196.4929
490	584899.7675
491	584641.1187
492	584415.5618
493	583644.0808
494	583161.8635
495	582107.8956
496	580615.2144
497	579907.385
498	578983.867
499	578247.4932
500	577497.7525
501	577040.1152
502	576794.6836
503	575377.9124
504	574667.0909
505	573790.6741
506	573327.881
507	572850.6355
508	572429.5524
509	571959.612
510	570612.468
511	570019.1513
512	569407.6354
513	568472.4401
514	567199.5042
515	566565.6062
516	565890.5153
517	565450.9007
518	565026.9392
519	563821.7652
520	563274.5673
521	562862.024
522	562573.7999
523	562352.7539
524	562076.8919
525	561686.9652
526	561230.0576
527	560748.6519
528	560171.1549
529	559546.8892
530	558476.5765
531	557920.5938
532	557537.6137
533	557229.0473
534	556214.4664
535	555690.6995
536	555069.6872
537	554768.3461
538	554420.2454
539	553389.9177
540	552946.8234
541	552457.0891
542	551527.8291
543	550582.8479
544	550113.9969
545	549463.5467
546	549234.2987
547	549064.6381
548	548521.3829
549	548081.844
550	547617.0286
551	546673.2065
552	546078.0612
553	545790.5598
554	544899.8568
555	544447.0743
556	544031.3663
557	543858.8793
558	543614.895
559	543083.1921
560	542307.0152
561	541568.9864
562	541126.0549
563	540851.1267
564	540150.8232
565	539523.8665
566	538812.8638
567	538585.7401
568	538372.0279
569	537664.1976
570	537264.2527
571	536697.3382
572	536399.8815
573	536132.5438
574	535532.7506
575	535270.285
576	534830.394
577	534672.776
578	534406.0997
579	533784.0645
580	533479.3437
581	533235.8334
582	533029.8787
583	532134.655
584	531885.4828
585	531603.5981
586	531361.8282
587	530930.4055
588	530356.6447
589	529507.2349
590	529282.1103
591	528750.7056
592	528530.2999
593	527749.3012
594	527610.2684
595	527370.3633
596	526893.0701
597	526474.9149
598	526220.5637
599	526010.6363
600	525787.2776
601	525082.1193
602	524889.6802
603	524681.2994
604	524017.5651
605	523625.1385
606	523199.2041
607	522668.0084
608	522284.9246
609	521674.4722
610	521257.4719
611	520941.0745
612	520483.4835
613	520280.9907
614	520078.5578
615	519892.8727
616	519499.6125
617	519384.9255
618	518953.1502
619	518774.2238
620	518404.9544
621	517619.0421
622	517402.214
623	517204.446
624	516692.3835
625	516314.7536
626	515800.8333
627	515331.368
628	515037.1367
629	514601.1314
630	514263.5401
631	513347.2291
632	512916.0321
633	512812.7342
634	512468.2089
635	512027.1688
636	511655.7299
637	511307.0948
638	510961.0528
639	510634.4726
640	510118.9867
641	509810.0939
642	509139.7274
643	508873.0493
644	508581.9223
645	507964.096
646	507380.7707
647	507107.0507
648	506550.2664
649	506018.1353
650	505616.6466
651	505359.3838
652	504972.8214
653	504730.0162
654	504357.6763
655	504097.6159
656	503378.1387
657	503163.5773
658	502810.6496
659	502345.364
660	502115.5005
661	501699.4635
662	501366.8252
663	501179.3164
664	500786.6227
665	500564.036
666	500247.7748
667	499673.8487
668	499368.4377
669	498709.902
670	498499.1781
671	498142.064
672	497544.1474
673	497021.1758
674	496734.6089
675	496525.2745
676	496249.0838
677	495929.5256
678	495335.474
679	495151.7215
680	494847.2409
681	494668.9131
682	494377.1011
683	494042.5854
684	493525.6877
685	492931.2499
686	492679.3582
687	492488.1855
688	492223.9224
689	491987.1363
690	491464.9812
691	490911.6258
692	490587.6141
693	490330.6032
694	489860.4137
695	489596.1317
696	489173.7645
697	488853.2687
698	488607.4211
699	488124.0028
700	487888.5941
701	487692.663
702	487249.8648
703	486863.5348
704	486623.6237
705	486127.6433
706	485772.367
707	485427.182
708	485212.4254
709	484993.6252
710	484367.1764
711	483888.8853
712	483680.8361
713	483175.5876
714	482838.799
715	482537.151
716	482100.6665
717	481769.5903
718	481438.4558
719	481128.7643
720	481010.8826
721	480795.3124
722	480314.4658
723	479880.1593
724	479656.5436
725	479482.6529
726	479266.5667
727	479059.2192
728	478777.0438
729	478485.3374
730	478287.5
731	478177.6971
732	477980.9685
733	477501.714
734	477305.6346
735	477148.7874
736	476681.9961
737	476508.8779
738	476288.7824
739	476209.5528
740	475892.974
741	475729.8717
742	475331.0402
743	475143.5686
744	474963.5052
745	474802.8684
746	474618.8976
747	474211.626
748	474034.0312
749	473603.6078
750	473379.4916
751	473039.7434
752	472871.1381
753	472516.8241
754	472181.6902
755	471913.0583
756	471538.3061
757	471375.2103
758	470926.0855
759	470635.266
760	470315.2586
761	470171.201
762	470014.3879
763	469642.3733
764	469339.2354
765	469193.0716
766	469061.5946
767	468555.8755
768	468356.9562
769	468052.2843
770	467684.5746
771	467339.2338
772	467187.0297
773	467048.4555
774	466994.414
775	466839.5093
776	466761.5899
777	466606.642
778	466185.3063
779	466039.9688
780	465712.3374
781	465664.2569
782	465412.8596
783	465168.8238
784	464891.9595
785	464398.4154
786	464353.6592
787	464324.4619
788	464187.822
789	463965.9288
790	463798.5457
791	463435.9535
792	463091.8041
793	462765.0715
794	462385.1804
795	461957.2286
796	461646.177
797	461231.9083
798	461054.6233
799	460758.6813
800	460664.8511
801	460342.9864
802	460025.7322
803	459544.9619
804	459243.4887
805	458957.5596
806	458807.8625
807	458591.9967
808	458495.1055
809	458151.0001
810	457659.4119
811	457341.0861
812	457192.0391
813	456857.4083
814	456599.5264
815	456202.7626
816	455715.6914
817	455398.2826
818	455165.0529
819	455021.6781
820	454902.4579
821	454604.3316
822	454324.5609
823	454186.7144
824	453811.9577
825	453548.9858
826	453416.6506
827	453201.1639
828	453087.9829
829	452661.7142
830	452396.1396
831	452341.9117
832	452165.4108
833	451860.772
834	451413.1395
835	451250.4538
836	450967.6378
837	450552.7495
838	450313.9531
839	450141.8201
840	449935.4944
841	449744.2927
842	449412.745
843	448824.3533
844	448797.2953
845	448394.8867
846	448137.6504
847	447883.1606
848	447857.727
849	447833.5496
850	447672.931
851	447294.7882
852	447230.5557
853	446861.0768
854	446419.3695
855	446189.0358
856	445777.4333
857	445415.3865
858	445223.9371
859	444888.1836
860	444664.0192
861	444486.8233
862	444363.6535
863	444002.1891
864	443731.0295
865	443469.9211
866	443351.4862
867	443108.0789
868	442755.6802
869	442561.8873
870	442329.504
871	442163.1648
872	442051.3172
873	442026.4526
874	441520.9258
875	441274.2333
876	441120.4863
877	440774.9548
878	440415.7238
879	440303.4306
880	440095.7496
881	439772.7755
882	439307.5536
883	439062.0781
884	438924.9686
885	438819.3056
886	438569.7995
887	438347.7114
888	438050.9389
889	437769.9202
890	437527.0873
891	437253.189
892	437056.5428
893	436848.6121
894	436662.9174
895	436487.4134
896	436187.0322
897	435871.5057
898	435679.5963
899	435265.9046
900	435164.1098
901	434754.6666
902	434324.5235
903	434119.8658
904	433933.11
905	433515.4476
906	433366.2386
907	433120.5049
908	432981.253
909	432788.7106
910	432519.7028
911	432413.6553
912	432390.5463
913	432158.7576
914	431909.5479
915	431808.5125
916	431786.6616
917	431667.4569
918	431479.5081
919	431259.3695
920	431056.8694
921	430889.3825
922	430672.2955
923	430486.8612
924	430265.5925
925	430135.2991
926	429934.4025
927	429775.619
928	429520.4825
929	429287.6526
930	429178.2804
931	429027.6023
932	428591.7384
933	428352.2404
934	428020.2616
935	427816.398
936	427706.2844
937	427448.222
938	427153.9918
939	426978.2529
940	426666.6716
941	426528.9775
942	426240.8229
943	426126.0213
944	426025.7669
945	425741.2235
946	425634.356
947	425488.2785
948	425314.6019
949	425177.8966
950	425043.3488
951	424788.1788
952	424681.5977
953	424440.4307
954	424259.2578
955	424096.201
956	423860.0373
957	423581.4106
958	423481.9568
959	423248.5951
960	422974.9971
961	422702.302
962	422512.0756
963	422426.9227
964	422332.9903
965	422075.1609
966	421631.4348
967	421539.5317
968	421119.0201
969	420902.6181
970	420819.3751
971	420406.6311
972	420225.8295
973	420140.597
974	419857.2586
975	419778.4533
976	419698.1258
977	419324.7139
978	419156.349
979	418966.5443
980	418796.5227
981	418556.3912
982	418210.8661
983	418046.9022
984	417879.4927
985	417708.011
986	417445.6137
987	417370.0831
988	417083.6199
989	416935.7193
990	416859.7835
991	416719.4358
992	416664.9024
993	416345.0727
994	416109.4083
995	415728.0674
996	415528.7385
997	415265.7385
998	415132.0933
999	414869.7912
